"haplotype","lineage","genus","informative_length","is_partial"
36,"H_DIGCAE01","Haemoproteus",479,FALSE
36,"H_DIGCYA01","Haemoproteus",456,TRUE
37,"H_DUMCAR08","Haemoproteus",478,TRUE
37,"H_DUMCAR10","Haemoproteus",413,TRUE
38,"H_DUNNO01","Haemoproteus",479,FALSE
38,"H_MELGEO01","Haemoproteus",269,TRUE
39,"H_APSPI02","Haemoproteus",462,TRUE
39,"H_ELAALB01","Haemoproteus",477,TRUE
40,"H_EUPXAN02","Haemoproteus",478,TRUE
40,"H_THAFAN01","Haemoproteus",456,TRUE
41,"H_FIPAR02","Haemoproteus",479,FALSE
41,"L_AEGCAU03","Leucocytozoon",432,TRUE
42,"H_FISEM01","Haemoproteus",479,FALSE
42,"H_PSADEC01","Haemoproteus",305,TRUE
43,"H_GRMEL01","Haemoproteus",479,FALSE
43,"H_JUHYE01","Haemoproteus",296,TRUE
44,"H_DIGCYA03","Haemoproteus",456,TRUE
44,"H_HEMATR01","Haemoproteus",479,FALSE
45,"H_ILABY02","Haemoproteus",479,FALSE
45,"H_PABY01","Haemoproteus",477,TRUE
46,"H_JUHYE13","Haemoproteus",479,FALSE
46,"H_ZONALB01_Haemoproteus_fringillae","Haemoproteus",361,TRUE
47,"H_JUNPHA04","Haemoproteus",479,FALSE
47,"H_TURASS05","Haemoproteus",479,FALSE
48,"H_LACPUL01","Haemoproteus",452,TRUE
48,"H_LACPUL02","Haemoproteus",479,FALSE
49,"H_LEIPER02","Haemoproteus",479,FALSE
49,"H_VIGRI01","Haemoproteus",294,TRUE
50,"H_LOXNOC01","Haemoproteus",477,TRUE
50,"H_LOXVIO01","Haemoproteus",479,FALSE
51,"H_MEGASI01","Haemoproteus",479,FALSE
51,"H_STTRA01","Haemoproteus",249,TRUE
52,"H_MELSTR01_Haemoproteus_velans","Haemoproteus",479,FALSE
52,"H_PIPUB01_Haemoproteus_picae","Haemoproteus",361,TRUE
53,"H_GEMON01","Haemoproteus",347,TRUE
53,"H_MICRO01_Haemoproteus_multipigmentatus","Haemoproteus",479,FALSE
53,"H_ZEGAL03","Haemoproteus",341,TRUE
54,"H_MIMPOL03","Haemoproteus",463,TRUE
54,"H_MIMPOL05","Haemoproteus",478,TRUE
55,"H_CATUST02","Haemoproteus",276,TRUE
55,"H_MONCAC01","Haemoproteus",479,FALSE
56,"H_MW3","Haemoproteus",478,TRUE
56,"H_RW3_Haemoproteus_belopolskyi","Haemoproteus",470,TRUE
57,"H_MYIFLA01","Haemoproteus",479,FALSE
57,"H_SITTAKRU1","Haemoproteus",432,TRUE
58,"H_MYIMAC01","Haemoproteus",477,TRUE
58,"H_MYMAC03","Haemoproteus",425,TRUE
59,"H_ELALB01","Haemoproteus",464,TRUE
59,"H_MYISWA01","Haemoproteus",477,TRUE
60,"H_NEWBR01","Haemoproteus",479,FALSE
60,"H_NEWBR04","Haemoproteus",479,FALSE
61,"H_PACPOL01","Haemoproteus",479,FALSE
61,"H_STRZON01","Haemoproteus",249,TRUE
62,"H_ANLAT02_Haemoproteus_vacuolatus","Haemoproteus",468,TRUE
62,"H_PHICT03","Haemoproteus",479,FALSE
63,"H_PHFRU01","Haemoproteus",465,TRUE
63,"H_PHRFRU07","Haemoproteus",479,FALSE
64,"H_PHFRU02","Haemoproteus",449,TRUE
64,"H_PHRFRU14","Haemoproteus",477,TRUE
65,"H_GW5","Haemoproteus",448,TRUE
65,"H_PHSIB2_Haemoproteus_homopalloris","Haemoproteus",478,TRUE
66,"H_PSABIF02","Haemoproteus",477,TRUE
66,"H_PSAVIR01","Haemoproteus",261,TRUE
67,"H_PTIPER02","Haemoproteus",444,TRUE
67,"H_PTIPER04","Haemoproteus",479,FALSE
68,"H_MACFLA01","Haemoproteus",249,TRUE
68,"H_PTIVIC02","Haemoproteus",479,FALSE
69,"H_SALMAX03","Haemoproteus",478,TRUE
69,"H_SERUT04","Haemoproteus",285,TRUE
70,"H_CARCAR10","Haemoproteus",477,TRUE
70,"H_DENPET01","Haemoproteus",285,TRUE
70,"H_SIAMEX01","Haemoproteus",479,FALSE
71,"H_SPISEN01","Haemoproteus",479,FALSE
71,"H_STSEN1_Haemoproteus_turtur","Haemoproteus",361,TRUE
72,"H_STRCAP01","Haemoproteus",479,FALSE
72,"H_STRSEM01","Haemoproteus",448,TRUE
73,"H_ASOT07","Haemoproteus",432,TRUE
73,"H_STRURA03","Haemoproteus",478,TRUE
74,"H_LWT3","Haemoproteus",305,TRUE
74,"H_SYCUR03","Haemoproteus",478,TRUE
75,"H_LEPRUF01","Haemoproteus",305,TRUE
75,"H_TACCRI01","Haemoproteus",477,TRUE
76,"H_ASCLA01","Haemoproteus",413,TRUE
76,"H_THAMEL01","Haemoproteus",464,TRUE
77,"H_TUPHI01_Haemoproteus_asymmetricus","Haemoproteus",479,FALSE
77,"H_TUPHI01_Haemoproteus_minutus","Haemoproteus",479,FALSE
78,"H_TURAMA06","Haemoproteus",477,TRUE
78,"P_TURALB06","Plasmodium",477,TRUE
79,"H_TURSTR01","Haemoproteus",301,TRUE
79,"H_TURSTR03","Haemoproteus",479,FALSE
80,"H_TURTYM01_Haemoproteus_multivolutinus","Haemoproteus",389,TRUE
80,"H_TURTYM02","Haemoproteus",479,FALSE
81,"H_TYTAL1","Haemoproteus",432,TRUE
81,"H_TYTAL4","Haemoproteus",479,FALSE
82,"H_TYTAL2","Haemoproteus",432,TRUE
82,"H_TYTAL8","Haemoproteus",479,FALSE
83,"H_VIOLI02","Haemoproteus",476,TRUE
83,"H_VIOLI11","Haemoproteus",479,FALSE
84,"H_SERUT02","Haemoproteus",285,TRUE
84,"H_VIRHUT01","Haemoproteus",477,TRUE
85,"H_ZEGAL06_Haemoproteus_multipigmentatus","Haemoproteus",388,TRUE
85,"H_ZEGAL07_Haemoproteus_multipigmentatus","Haemoproteus",457,TRUE
86,"H_APSPI01","Haemoproteus",449,TRUE
86,"H_ZOCAP08","Haemoproteus",479,FALSE
87,"H_CHLOP01","Haemoproteus",464,TRUE
87,"H_HELVIO02","Haemoproteus",454,TRUE
87,"H_ZOCAP14_Haemoproteus_erythrogravidus","Haemoproteus",479,FALSE
88,"H_THRBON01","Haemoproteus",471,TRUE
88,"H_TROAED17","Haemoproteus",455,TRUE
88,"H_ZOCAP19","Haemoproteus",479,FALSE
89,"H_ZOSFLA01","Haemoproteus",305,TRUE
89,"H_ZOSLAT04_Haemoproteus_zosteropis","Haemoproteus",479,FALSE
90,"H_ZOSLUG01","Haemoproteus",479,FALSE
90,"H_ZOSLUG02","Haemoproteus",442,TRUE
91,"H_ZOSPAL01","Haemoproteus",305,TRUE
91,"H_ZOSPAL06","Haemoproteus",476,TRUE
92,"H_ZOMON01","Haemoproteus",464,TRUE
92,"H_ZOSPAL02","Haemoproteus",458,TRUE
92,"H_ZOSPAL07","Haemoproteus",479,FALSE
93,"H_ZOSLAT11_Haemoproteus_zosteropis","Haemoproteus",447,TRUE
93,"H_ZOSXAN02_Haemoproteus_zosteropis","Haemoproteus",465,TRUE
94,"L_ACAFLA02","Leucocytozoon",479,FALSE
94,"L_CARFLA04","Leucocytozoon",476,TRUE
95,"L_ACAFLA03","Leucocytozoon",479,FALSE
95,"L_SEINOV02","Leucocytozoon",464,TRUE
96,"L_ACCBRE01","Leucocytozoon",361,TRUE
96,"L_ACCBRE02","Leucocytozoon",479,FALSE
97,"L_AFR176","Leucocytozoon",476,TRUE
97,"L_AFR241","Leucocytozoon",458,TRUE
98,"L_ANACRE02","Leucocytozoon",479,FALSE
98,"L_ANACU02","Leucocytozoon",358,TRUE
99,"L_ANSFAB01","Leucocytozoon",479,FALSE
99,"L_TUSW01","Leucocytozoon",423,TRUE
100,"L_ANTTRI02","Leucocytozoon",454,TRUE
100,"L_TRPIP3","Leucocytozoon",422,TRUE
101,"L_APSPI12","Leucocytozoon",478,TRUE
101,"L_SEPSEP01","Leucocytozoon",446,TRUE
102,"L_BUTJAM04","Leucocytozoon",479,FALSE
102,"L_BUTLIN01","Leucocytozoon",361,TRUE
103,"L_AKGPL03","Leucocytozoon",425,TRUE
103,"L_CALMIN01","Leucocytozoon",471,TRUE
104,"L_CARBAR01","Leucocytozoon",477,TRUE
104,"L_ZOCAP05","Leucocytozoon",424,TRUE
105,"L_CATBIC07","Leucocytozoon",443,TRUE
105,"L_CATFUS17","Leucocytozoon",477,TRUE
106,"L_CATFUS18","Leucocytozoon",477,TRUE
106,"L_CATMIN08","Leucocytozoon",443,TRUE
107,"L_CATMIN05","Leucocytozoon",479,FALSE
107,"L_CATUST11","Leucocytozoon",443,TRUE
108,"L_CATUST14","Leucocytozoon",479,FALSE
108,"L_GEOTRI07","Leucocytozoon",304,TRUE
109,"L_CIAE02","Leucocytozoon",479,FALSE
109,"L_TYTAL12","Leucocytozoon",450,TRUE
110,"L_CLAHYE01","Leucocytozoon",479,FALSE
110,"L_TUSW02","Leucocytozoon",423,TRUE
111,"L_CNEORN01","Leucocytozoon",479,FALSE
111,"L_DENCOR06","Leucocytozoon",435,TRUE
111,"L_SILUT01","Leucocytozoon",446,TRUE
112,"L_COBRA03","Leucocytozoon",476,TRUE
112,"L_CORCAU03","Leucocytozoon",424,TRUE
113,"L_COBRA09","Leucocytozoon",476,TRUE
113,"L_PICNUT01","Leucocytozoon",475,TRUE
114,"L_COCOR16","Leucocytozoon",479,FALSE
114,"L_CORMAC01","Leucocytozoon",305,TRUE
115,"L_COLBF01","Leucocytozoon",477,TRUE
115,"L_COLBF09","Leucocytozoon",472,TRUE
116,"L_COLPAS08","Leucocytozoon",479,FALSE
116,"L_TURMIG11","Leucocytozoon",477,TRUE
117,"L_COCOR03","Leucocytozoon",477,TRUE
117,"L_CORMAC03","Leucocytozoon",479,FALSE
118,"L_CYASTE04","Leucocytozoon",475,TRUE
118,"L_CYASTE07","Leucocytozoon",476,TRUE
119,"L_APSPI05","Leucocytozoon",447,TRUE
119,"L_DIUDIU11","Leucocytozoon",477,TRUE
120,"L_APSPI04","Leucocytozoon",424,TRUE
120,"L_ELAALB05","Leucocytozoon",477,TRUE
121,"H_PARUS64","Haemoproteus",432,TRUE
121,"L_EMGOD06","Leucocytozoon",479,FALSE
122,"H_PARVEN01","Haemoproteus",405,TRUE
122,"L_FICZAN14","Leucocytozoon",479,FALSE
123,"L_BUTBUT05","Leucocytozoon",457,TRUE
123,"L_GALLUS34","Leucocytozoon",479,FALSE
124,"L_GALLUS41","Leucocytozoon",445,TRUE
124,"L_GALLUS63","Leucocytozoon",479,FALSE
125,"L_CATMIN07","Leucocytozoon",443,TRUE
125,"L_HYLMUS02","Leucocytozoon",477,TRUE
126,"L_HYPAM01","Leucocytozoon",277,TRUE
126,"L_HYPAM03","Leucocytozoon",479,FALSE
127,"L_CORCAU02","Leucocytozoon",425,TRUE
127,"L_JUHYE21","Leucocytozoon",477,TRUE
128,"L_OTSCO02","Leucocytozoon",305,TRUE
128,"L_OTUSCO03","Leucocytozoon",479,FALSE
129,"L_AFR238","Leucocytozoon",458,TRUE
129,"L_PASDIF03","Leucocytozoon",479,FALSE
130,"L_PERATE07","Leucocytozoon",479,FALSE
130,"L_PERATE08","Leucocytozoon",444,TRUE
130,"L_PERATE09","Leucocytozoon",479,FALSE
131,"L_PARUS37","Leucocytozoon",392,TRUE
131,"L_PICVIR01","Leucocytozoon",479,FALSE
132,"L_REB11","Leucocytozoon",479,FALSE
132,"L_REB12L","Leucocytozoon",467,TRUE
133,"L_SETAUD27","Leucocytozoon",450,TRUE
133,"L_SETCOR06","Leucocytozoon",479,FALSE
134,"L_PHEMEL01","Leucocytozoon",475,TRUE
134,"L_SPIPAS07","Leucocytozoon",479,FALSE
135,"L_STAL3","Leucocytozoon",477,TRUE
135,"L_STRALU01","Leucocytozoon",478,TRUE
136,"L_SYAT42","Leucocytozoon",432,TRUE
136,"L_SYCON05","Leucocytozoon",479,FALSE
137,"L_SYBOR25","Leucocytozoon",469,TRUE
137,"L_SYCON06","Leucocytozoon",479,FALSE
138,"L_POEMON03","Leucocytozoon",476,TRUE
138,"L_TARCYA01","Leucocytozoon",479,FALSE
138,"P_PARVEN02","Plasmodium",428,TRUE
139,"L_THLORN01","Leucocytozoon",478,TRUE
139,"L_TROAED10","Leucocytozoon",415,TRUE
140,"L_TROAED02","Leucocytozoon",478,TRUE
140,"L_ZOCAP06","Leucocytozoon",422,TRUE
141,"L_TUPHI02","Leucocytozoon",445,TRUE
141,"L_TUPHI13","Leucocytozoon",479,FALSE
142,"L_TUMER02","Leucocytozoon",476,TRUE
142,"L_TUREUN01","Leucocytozoon",479,FALSE
143,"L_TUFAL04","Leucocytozoon",301,TRUE
143,"L_TURFAL05","Leucocytozoon",477,TRUE
144,"L_TURMER11","Leucocytozoon",476,TRUE
144,"L_TURMER12","Leucocytozoon",476,TRUE
144,"L_TURMER13","Leucocytozoon",476,TRUE
145,"L_TROAED08","Leucocytozoon",448,TRUE
145,"L_TURSER01","Leucocytozoon",479,FALSE
146,"P_AEDVEX01","Plasmodium",479,FALSE
146,"P_EMHOR1","Plasmodium",361,TRUE
147,"P_ALEDIA01","Plasmodium",479,FALSE
147,"P_RBQ16","Plasmodium",210,TRUE
148,"P_AMMAUR01","Plasmodium",479,FALSE
148,"P_SEIAUR02","Plasmodium",368,TRUE
149,"P_APSPI14","Plasmodium",478,TRUE
149,"P_ZOCAP03","Plasmodium",449,TRUE
150,"P_BAEBIC02_Plasmodium_homopolare","Plasmodium",479,FALSE
150,"P_TABI07","Plasmodium",285,TRUE
151,"P_BAEBIC01","Plasmodium",368,TRUE
151,"P_BAEBIC04","Plasmodium",479,FALSE
152,"P_BAHYP01","Plasmodium",478,TRUE
152,"P_VOLJAC01","Plasmodium",249,TRUE
153,"P_BT7","Plasmodium",479,FALSE
153,"P_PARUS2","Plasmodium",409,TRUE
154,"P_BUBBUB03","Plasmodium",479,FALSE
154,"P_ZOSBRU01","Plasmodium",210,TRUE
155,"P_CATFUS11","Plasmodium",479,FALSE
155,"P_TUMIG05","Plasmodium",368,TRUE
156,"P_CATUST01","Plasmodium",368,TRUE
156,"P_CATUST06","Plasmodium",479,FALSE
157,"P_CINCHL01","Plasmodium",479,FALSE
157,"P_CINCHL02","Plasmodium",305,TRUE
158,"P_CET01","Plasmodium",470,TRUE
158,"P_COLL13","Plasmodium",479,FALSE
159,"P_CUCROC01","Plasmodium",479,FALSE
159,"P_SYBOR21","Plasmodium",469,TRUE
160,"P_CURCUR01","Plasmodium",477,TRUE
160,"P_ELALB02","Plasmodium",463,TRUE
161,"P_CXPIP21","Plasmodium",479,FALSE
161,"P_CXTHE01","Plasmodium",427,TRUE
162,"P_CYAOLI04","Plasmodium",479,FALSE
162,"P_NEOLI01","Plasmodium",270,TRUE
163,"P_CYAOLI09_Plasmodium_lucens","Plasmodium",479,FALSE
163,"P_NEOBS02","Plasmodium",244,TRUE
164,"P_BELL02","Plasmodium",455,TRUE
164,"P_CYNOV1","Plasmodium",479,FALSE
165,"P_CINPRE02","Plasmodium",340,TRUE
165,"P_CYAOLI10","Plasmodium",276,TRUE
165,"P_DELFRA04","Plasmodium",479,FALSE
166,"P_CORCAU05","Plasmodium",425,TRUE
166,"P_DENCOR09","Plasmodium",477,TRUE
167,"H_EMGOD01","Haemoproteus",432,TRUE
167,"P_DENVID02","Plasmodium",479,FALSE
168,"P_DIGCYA02","Plasmodium",456,TRUE
168,"P_DIGLAF01_Plasmodium_lutzi","Plasmodium",479,FALSE
169,"P_FICZAN23","Plasmodium",479,FALSE
169,"P_GRW02_Plasmodium_ashfordi","Plasmodium",478,TRUE
170,"P_FOUOMI04","Plasmodium",479,FALSE
170,"P_NESOU01","Plasmodium",463,TRUE
171,"P_GEOTRI06","Plasmodium",479,FALSE
171,"P_LARINC02","Plasmodium",361,TRUE
172,"P_GEOTRI09","Plasmodium",479,FALSE
172,"P_SEINOV01","Plasmodium",368,TRUE
172,"P_SERUT10","Plasmodium",284,TRUE
173,"P_HYLMUS01","Plasmodium",479,FALSE
173,"P_TUMIG24","Plasmodium",468,TRUE
174,"P_IOLIND04","Plasmodium",479,FALSE
174,"P_PYCCAF01","Plasmodium",305,TRUE
175,"P_DENPEN01","Plasmodium",368,TRUE
175,"P_KEWA01","Plasmodium",478,TRUE
176,"P_LINOLI01","Plasmodium",479,FALSE
176,"P_RBQ21","Plasmodium",304,TRUE
177,"P_MALCIN01","Plasmodium",479,FALSE
177,"P_STANIG02","Plasmodium",446,TRUE
178,"P_MALCOR02","Plasmodium",479,FALSE
178,"P_NECASP02","Plasmodium",249,TRUE
179,"P_MALMEL01","Plasmodium",479,FALSE
179,"P_RHIAUR01","Plasmodium",437,TRUE
180,"P_MILANS06","Plasmodium",479,FALSE
180,"P_TURAF01","Plasmodium",305,TRUE
181,"P_MOLATE01","Plasmodium",479,FALSE
181,"P_POOHIS04","Plasmodium",477,TRUE
182,"P_MONFAI01","Plasmodium",479,FALSE
182,"P_PORUF03","Plasmodium",446,TRUE
183,"P_ARDALB01","Plasmodium",248,TRUE
183,"P_MYCAME02_Plasmodium_paranucleophilum","Plasmodium",478,TRUE
184,"P_NEWAM01","Plasmodium",464,TRUE
184,"P_NEWAM06","Plasmodium",479,FALSE
185,"P_LEVER02","Plasmodium",347,TRUE
185,"P_NYCNYC01","Plasmodium",479,FALSE
186,"P_PARMIN02","Plasmodium",479,FALSE
186,"P_PARUS09","Plasmodium",305,TRUE
187,"P_HYPHI30","Plasmodium",463,TRUE
187,"P_RHIALB02","Plasmodium",464,TRUE
188,"P_SATOR01","Plasmodium",463,TRUE
188,"P_SATOR02","Plasmodium",479,FALSE
189,"P_CARCAR11","Plasmodium",478,TRUE
189,"P_SEIAUR01_Plasmodium_cathemerium","Plasmodium",479,FALSE
189,"P_TABI08","Plasmodium",285,TRUE
190,"P_SEIAUR04","Plasmodium",463,TRUE
190,"P_SETPEN01","Plasmodium",478,TRUE
191,"P_SPDEM01","Plasmodium",460,TRUE
191,"P_SPDEM02","Plasmodium",479,FALSE
192,"P_SPMEN01","Plasmodium",347,TRUE
192,"P_SPMEN03","Plasmodium",479,FALSE
193,"P_PV5","Plasmodium",244,TRUE
193,"P_STEGRA01","Plasmodium",479,FALSE
194,"P_PV8","Plasmodium",244,TRUE
194,"P_STIERY01","Plasmodium",479,FALSE
195,"P_SALCOE01","Plasmodium",305,TRUE
195,"P_THRPAL01","Plasmodium",478,TRUE
196,"P_TUBOU01","Plasmodium",446,TRUE
196,"P_TURMER06","Plasmodium",479,FALSE
197,"P_TURUF01","Plasmodium",249,TRUE
197,"P_TURUF03_Plasmodium_unalis","Plasmodium",478,TRUE
198,"P_ZOSLAT02","Plasmodium",479,FALSE
198,"P_ZOSXAN01","Plasmodium",300,TRUE
